20201108,STRA,FFHUBKGK,Invest,580467
20201109,STRA,FFHUBKGK,Invest,557249
20241108,STRA,FFHUBKGK,Redeem,609519
20241108,STRA,FFHUBKGK,Redeem,634915
20241109,LUOT,QFTKPZBS,Invest,633826
20241110,LUOT,QFTKPZBS,Invest,316913
20241111,LUOT,QFTKPZBS,Invest,158457
20241112,LUOT,QFTKPZBS,Invest,79228
20241113,LUOT,QFTKPZBS,Invest,77644
20290317,LUOT,QFTKPZBS,Redeem,77987
20290317,LUOT,QFTKPZBS,Redeem,79578
20290317,LUOT,QFTKPZBS,Redeem,159158
20290317,LUOT,QFTKPZBS,Redeem,318315
20290317,LUOT,QFTKPZBS,Redeem,636630
20290318,LTVI,QVPJLGSM,Invest,636626
20290319,LTVI,QVPJLGSM,Invest,458371
20311025,LTVI,QVPJLGSM,Redeem,469066
20311025,LTVI,QVPJLGSM,Redeem,651481
20311026,RBYN,ELASRRHM,Invest,649401
20311027,RBYN,ELASRRHM,Invest,532509
20320423,RBYN,ELASRRHM,Redeem,532509
20320423,RBYN,ELASRRHM,Redeem,649401
20320424,PLOH,FLMJTTJO,Invest,649401
20320425,PLOH,FLMJTTJO,Invest,415617
20330831,PLOH,FLMJTTJO,Redeem,427441
20330831,PLOH,FLMJTTJO,Redeem,667877
