20201108,STRA,FFHUBKGK,Invest,589779
20201109,STRA,FFHUBKGK,Invest,554393
20241108,STRA,FFHUBKGK,Redeem,606395
20241108,STRA,FFHUBKGK,Redeem,645100
20241109,AMOT,NQNUYERN,Invest,643441
20241110,AMOT,NQNUYERN,Invest,321720
20241111,AMOT,NQNUYERN,Invest,321721
20270830,AMOT,NQNUYERN,Redeem,329358
20270830,AMOT,NQNUYERN,Redeem,329357
20270830,AMOT,NQNUYERN,Redeem,658715
20270831,PIPP,IAOYZWBN,Invest,526971
20270901,PIPP,IAOYZWBN,Invest,395229
20270902,PIPP,IAOYZWBN,Invest,197615
20270903,PIPP,IAOYZWBN,Invest,197615
20271016,PIPP,IAOYZWBN,Redeem,197615
20271016,PIPP,IAOYZWBN,Redeem,197615
20271016,PIPP,IAOYZWBN,Redeem,395229
20271016,PIPP,IAOYZWBN,Redeem,526971
