20201108,STRA,FFHUBKGK,Invest,715396
20201109,STRA,FFHUBKGK,Invest,770244
20201110,STRA,FFHUBKGK,Invest,747590
20201111,STRA,FFHUBKGK,Invest,553216
20220317,LUOT,QFTKPZBS,Invest,97187
20220318,LUOT,QFTKPZBS,Invest,77749
20241108,STRA,FFHUBKGK,Redeem,605108
20241108,STRA,FFHUBKGK,Redeem,817714
20241108,STRA,FFHUBKGK,Redeem,842493
20241108,STRA,FFHUBKGK,Redeem,782500
20241109,AMOT,NQNUYERN,Invest,981520
20241110,AMOT,NQNUYERN,Invest,1001151
20241111,AMOT,NQNUYERN,Invest,542291
20241112,AMOT,NQNUYERN,Invest,325374
20270830,AMOT,NQNUYERN,Redeem,333098
20270830,AMOT,NQNUYERN,Redeem,555164
20270830,AMOT,NQNUYERN,Redeem,1024917
20270830,AMOT,NQNUYERN,Redeem,1004820
20270831,TMER,KCYLMIHK,Invest,689681
20270901,TMER,KCYLMIHK,Invest,684665
20270902,TMER,KCYLMIHK,Invest,704227
20270903,TMER,KCYLMIHK,Invest,528171
20270904,TMER,KCYLMIHK,Invest,338030
20290317,LUOT,QFTKPZBS,Redeem,78288
20290317,LUOT,QFTKPZBS,Redeem,97861
20290418,TMER,KCYLMIHK,Redeem,348687
20290418,TMER,KCYLMIHK,Redeem,544823
20290418,TMER,KCYLMIHK,Redeem,726430
20290418,TMER,KCYLMIHK,Redeem,706251
20290418,TMER,KCYLMIHK,Redeem,711426
